Nome,"""O Lavrador de Café"""
Autor ,Cândido Portinari
Data,1934
Tipo de obra,Pintura
descrição da obra,"""O Lavrador de Café"" é uma pintura de Cândido Portinari que retrata um trabalhador rural colhendo café. A obra apresenta um estilo realista e social, refletindo as preocupações do movimento modernista com a representação da vida cotidiana e das questões sociais."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Nome,"""Antropofagia"""
Autor ,Tarsila do Amaral
Data,1929
Tipo de obra,Pintura
descrição da obra,"""Antropofagia"" é outra obra notável de Tarsila do Amaral. Ela representa a ideia da ""Antropofagia Cultural"", um conceito central do modernismo brasileiro que envolve a absorção e reinterpretação de influências estrangeiras pela cultura brasileira."
